epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2105,0.99089,2.06738,1.30048,0.99222,0.98922,0.99412,0.87492,0.49366,5.04987,0.63997,0.00332151,0.00332151,0.00332151
2,85.2637,0.81269,1.86934,1.22268,0.98822,0.98421,0.99399,0.87531,0.47926,24.8974,0.63234,0.00665421,0.00665421,0.00665421
3,134.416,0.83327,1.9922,1.22843,0.82466,0.95822,0.90906,0.80194,0.47116,1513.44,0.63591,0.00998437,0.00998437,0.00998437
4,182.882,0.86364,2.15233,1.24078,0.63925,0.92063,0.80841,0.69949,0.52503,3949.51,0.6518,0.00999141,0.00999141,0.00999141
5,230.943,0.86097,2.16278,1.24233,0.58125,0.92785,0.74852,0.66491,0.43519,5255.12,0.63153,0.00998474,0.00998474,0.00998474
6,278.905,0.8494,2.17192,1.24362,0.56604,0.93927,0.75142,0.6285,0.59881,5116.05,0.67021,0.00997616,0.00997616,0.00997616
7,326.465,0.82888,2.13383,1.23408,0.55973,0.9431,0.71883,0.62033,0.48239,5274.01,0.64351,0.00996569,0.00996569,0.00996569
8,374.091,0.82661,2.12096,1.23822,0.59711,0.93762,0.76235,0.69567,0.35344,5197.29,0.61361,0.00995332,0.00995332,0.00995332
9,421.887,0.81462,2.10113,1.23504,0.56535,0.94006,0.74204,0.68922,0.32775,5647.34,0.60812,0.00993906,0.00993906,0.00993906
10,469.364,0.81414,2.09609,1.23279,0.55197,0.94219,0.70723,0.66572,0.30634,5594.57,0.60481,0.00992291,0.00992291,0.00992291
11,517.118,0.81188,2.07632,1.23021,0.56765,0.93329,0.74884,0.71608,0.27767,5443.45,0.59923,0.00990489,0.00990489,0.00990489
12,565.174,0.80773,2.09005,1.23034,0.53904,0.9349,0.69466,0.63244,0.3744,5933.18,0.61716,0.00988499,0.00988499,0.00988499
13,612.859,0.80614,2.0765,1.23048,0.56687,0.93303,0.77105,0.74075,0.26642,5561.62,0.59973,0.00986323,0.00986323,0.00986323
14,660.569,0.80102,2.08885,1.23016,0.5446,0.94158,0.72814,0.63887,0.46989,5811.62,0.64303,0.00983962,0.00983962,0.00983962
15,708.691,0.79831,2.07083,1.23084,0.54398,0.95277,0.63484,0.56884,0.40466,5935.66,0.62178,0.00981415,0.00981415,0.00981415
16,756.791,0.79699,2.05639,1.22497,0.55303,0.93133,0.68984,0.57876,0.59171,5609.11,0.66327,0.00978685,0.00978685,0.00978685
17,804.766,0.79381,2.0464,1.22546,0.57232,0.93424,0.75852,0.7156,0.30465,5555.67,0.60282,0.00975773,0.00975773,0.00975773
18,852.726,0.78948,2.02611,1.22118,0.56402,0.93065,0.71225,0.69252,0.2442,5800.55,0.59359,0.00972679,0.00972679,0.00972679
19,900.488,0.7933,2.03861,1.22637,0.5334,0.95735,0.68037,0.65066,0.28026,5893.11,0.59855,0.00969405,0.00969405,0.00969405
20,948.053,0.79112,2.04816,1.22807,0.56808,0.94009,0.73586,0.71553,0.24002,5618.68,0.59227,0.00965951,0.00965951,0.00965951
21,996.027,0.78952,2.0285,1.22466,0.55915,0.94324,0.70743,0.64462,0.36824,5816.01,0.61637,0.0096232,0.0096232,0.0096232
22,1043.63,0.79232,2.03979,1.22839,0.58925,0.93479,0.75101,0.72596,0.25892,5674.57,0.59705,0.00958513,0.00958513,0.00958513
23,1091.64,0.78965,2.03777,1.22777,0.57913,0.93745,0.73439,0.70257,0.2748,5550.42,0.60047,0.00954531,0.00954531,0.00954531
24,1139.39,0.79024,2.03875,1.22508,0.56643,0.93318,0.72761,0.70548,0.23452,5624.88,0.59096,0.00950375,0.00950375,0.00950375
25,1187.03,0.78852,2.02262,1.22554,0.56596,0.93736,0.73613,0.71098,0.25644,5877.53,0.59432,0.00946048,0.00946048,0.00946048
26,1234.83,0.78903,2.0343,1.22352,0.53974,0.94266,0.68643,0.65197,0.29323,6035.07,0.60272,0.00941551,0.00941551,0.00941551
27,1282.63,0.78853,2.00663,1.22161,0.57851,0.94219,0.74644,0.72566,0.23442,5714.66,0.5927,0.00936886,0.00936886,0.00936886
28,1330.2,0.78564,2.01846,1.22436,0.56011,0.94484,0.72366,0.69954,0.25791,6059.21,0.59632,0.00932054,0.00932054,0.00932054
