epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4261,0.6748,3.3444,1.32672,0.98188,0.98808,0.99304,0.87833,0.30736,45.0104,0.63749,0.00332151,0.00332151,0.00332151
2,71.8655,0.53966,2.97735,1.23607,0.98075,0.98573,0.99262,0.86237,0.32648,125.467,0.64453,0.00665421,0.00665421,0.00665421
3,107.578,0.55202,3.1484,1.24656,0.91616,0.95758,0.97283,0.84765,0.31713,1121.51,0.6381,0.00998437,0.00998437,0.00998437
4,143.106,0.56901,3.40278,1.25624,0.62574,0.91889,0.79243,0.6954,0.31417,6534.07,0.64395,0.00999141,0.00999141,0.00999141
5,178.5,0.57418,3.45863,1.25972,0.60092,0.93309,0.76553,0.66903,0.32015,6475.41,0.64911,0.00998474,0.00998474,0.00998474
6,214.082,0.57329,3.42389,1.25832,0.59681,0.93311,0.77231,0.68215,0.28973,7246.05,0.6318,0.00997616,0.00997616,0.00997616
7,249.339,0.57466,3.44549,1.26546,0.57162,0.93205,0.71483,0.61441,0.33683,8091.44,0.65099,0.00996569,0.00996569,0.00996569
8,284.965,0.57692,3.46668,1.26736,0.53806,0.95068,0.63023,0.54335,0.33774,8665.43,0.65029,0.00995332,0.00995332,0.00995332
9,320.454,0.57601,3.48161,1.26428,0.58712,0.91368,0.75827,0.63307,0.38532,7537.15,0.66569,0.00993906,0.00993906,0.00993906
10,355.792,0.57389,3.4112,1.26126,0.56804,0.93227,0.72836,0.58814,0.43093,7908.57,0.69232,0.00992291,0.00992291,0.00992291
11,391.074,0.56959,3.40542,1.25486,0.58669,0.9169,0.74959,0.64913,0.33566,7880.71,0.64954,0.00990489,0.00990489,0.00990489
12,426.59,0.5745,3.43973,1.26265,0.57482,0.93664,0.74228,0.63259,0.35689,8148.96,0.6641,0.00988499,0.00988499,0.00988499
13,462.104,0.57409,3.41977,1.2633,0.58502,0.92851,0.75589,0.64609,0.34449,8169.06,0.65862,0.00986323,0.00986323,0.00986323
14,497.384,0.57113,3.43502,1.26269,0.55482,0.9411,0.6937,0.61386,0.2901,8588.31,0.63605,0.00983962,0.00983962,0.00983962
15,532.844,0.57129,3.4213,1.26312,0.58041,0.92644,0.75537,0.66199,0.31436,8197.21,0.64616,0.00981415,0.00981415,0.00981415
16,568.122,0.56826,3.3976,1.25978,0.56514,0.93263,0.72675,0.60576,0.37745,8169.11,0.66579,0.00978685,0.00978685,0.00978685
17,603.53,0.56386,3.38931,1.25842,0.55576,0.94074,0.71483,0.64617,0.25172,8549.03,0.62209,0.00975773,0.00975773,0.00975773
18,639.185,0.56216,3.35091,1.25527,0.57547,0.92919,0.73195,0.66293,0.2484,8418.71,0.62176,0.00972679,0.00972679,0.00972679
19,674.512,0.55506,3.34978,1.25209,0.55193,0.9376,0.70696,0.60358,0.35908,8114.43,0.66676,0.00969405,0.00969405,0.00969405
20,709.961,0.55571,3.34618,1.2559,0.56349,0.9376,0.70211,0.63233,0.25796,8252.91,0.62145,0.00965951,0.00965951,0.00965951
21,745.45,0.55823,3.34549,1.25442,0.57122,0.9379,0.66716,0.58236,0.32103,8432.18,0.64811,0.0096232,0.0096232,0.0096232
22,780.975,0.55819,3.34772,1.25822,0.56974,0.93404,0.69875,0.63099,0.25088,8680.35,0.62146,0.00958513,0.00958513,0.00958513
23,816.318,0.55834,3.3728,1.25436,0.558,0.94465,0.68299,0.63838,0.20714,8653.81,0.6069,0.00954531,0.00954531,0.00954531
24,851.598,0.55163,3.30245,1.25176,0.56426,0.93835,0.6993,0.63038,0.25441,8369.02,0.62401,0.00950375,0.00950375,0.00950375
25,887.097,0.55024,3.31865,1.25471,0.52748,0.95403,0.66732,0.62272,0.20991,8916.74,0.60963,0.00946048,0.00946048,0.00946048
26,922.461,0.54705,3.29386,1.24904,0.56873,0.93153,0.73355,0.70721,0.16737,8312.63,0.59928,0.00941551,0.00941551,0.00941551
27,957.652,0.55062,3.31235,1.25052,0.54867,0.95066,0.70783,0.64075,0.24829,8929.83,0.61778,0.00936886,0.00936886,0.00936886
28,993.185,0.54941,3.28946,1.25134,0.55066,0.94408,0.68109,0.63253,0.21129,8736.05,0.60762,0.00932054,0.00932054,0.00932054
29,1028.55,0.54719,3.28234,1.25241,0.55061,0.94568,0.67704,0.65508,0.1586,8534.49,0.59595,0.00927057,0.00927057,0.00927057
30,1064.08,0.54965,3.30726,1.25248,0.56209,0.93561,0.70267,0.67327,0.17786,8694.1,0.60116,0.00921898,0.00921898,0.00921898
31,1099.41,0.54582,3.28174,1.25115,0.55216,0.94163,0.71638,0.69108,0.16607,8753.37,0.59619,0.00916577,0.00916577,0.00916577
32,1134.76,0.54859,3.28127,1.25341,0.54901,0.94334,0.6724,0.61364,0.23546,8864.29,0.61635,0.00911099,0.00911099,0.00911099
33,1170.13,0.54606,3.27526,1.24976,0.59208,0.92862,0.72205,0.62095,0.34049,8605.37,0.64786,0.00905463,0.00905463,0.00905463
34,1205.33,0.54281,3.26336,1.24653,0.57646,0.92094,0.7436,0.68146,0.22732,8550.77,0.60915,0.00899674,0.00899674,0.00899674
35,1241.04,0.54263,3.24501,1.24294,0.54956,0.94662,0.68851,0.66871,0.15334,8969.34,0.59432,0.00893732,0.00893732,0.00893732
36,1276.64,0.53914,3.20119,1.24397,0.55003,0.94216,0.69627,0.64756,0.20965,8944.92,0.60408,0.0088764,0.0088764,0.0088764
37,1311.84,0.54148,3.23512,1.24649,0.5717,0.93357,0.73925,0.65938,0.27516,8685.88,0.62862,0.00881401,0.00881401,0.00881401
38,1347.26,0.53989,3.23873,1.24667,0.55163,0.93883,0.69523,0.63751,0.228,8998.38,0.6148,0.00875017,0.00875017,0.00875017
39,1382.33,0.53946,3.23219,1.24831,0.56134,0.93353,0.73705,0.71003,0.16783,8617.96,0.59696,0.0086849,0.0086849,0.0086849
40,1418.05,0.53867,3.2104,1.24564,0.54393,0.934,0.69619,0.65587,0.19625,8792.52,0.6053,0.00861823,0.00861823,0.00861823
41,1453.26,0.53777,3.22624,1.24869,0.55756,0.94456,0.70419,0.67634,0.17086,8799.24,0.59813,0.00855018,0.00855018,0.00855018
42,1488.71,0.53873,3.20831,1.24222,0.54453,0.94198,0.70971,0.67893,0.17758,9050.38,0.59861,0.00848078,0.00848078,0.00848078
43,1524.24,0.53483,3.18412,1.24308,0.55545,0.9366,0.70338,0.67424,0.17282,8884.6,0.59888,0.00841006,0.00841006,0.00841006
44,1559.42,0.53702,3.196,1.24355,0.55093,0.93852,0.71761,0.69187,0.16267,8872.79,0.59524,0.00833805,0.00833805,0.00833805
45,1594.8,0.5359,3.17926,1.24117,0.5523,0.94773,0.69732,0.67605,0.15379,8967.73,0.5941,0.00826477,0.00826477,0.00826477
46,1630.13,0.53914,3.21133,1.2474,0.54795,0.94714,0.69237,0.66954,0.15883,9111.13,0.59368,0.00819025,0.00819025,0.00819025
47,1665.36,0.53303,3.17269,1.24387,0.55921,0.93828,0.74888,0.72453,0.16266,8883.95,0.59357,0.00811452,0.00811452,0.00811452
48,1700.72,0.53514,3.17896,1.24331,0.54908,0.94428,0.69041,0.66652,0.16225,8946.96,0.59531,0.0080376,0.0080376,0.0080376
49,1735.91,0.53406,3.15518,1.24032,0.5794,0.93538,0.73931,0.7168,0.1632,8772.49,0.59481,0.00795954,0.00795954,0.00795954
50,1771.28,0.53271,3.17307,1.24333,0.56725,0.94113,0.72433,0.6972,0.16891,8981.38,0.59578,0.00788035,0.00788035,0.00788035
51,1806.83,0.53528,3.14854,1.24516,0.55003,0.94343,0.73947,0.71185,0.16741,9095,0.5957,0.00780007,0.00780007,0.00780007
52,1842.18,0.5319,3.15174,1.24113,0.56091,0.93022,0.7562,0.73469,0.15696,8788.61,0.59272,0.00771873,0.00771873,0.00771873
53,1877.64,0.53188,3.13952,1.2406,0.55218,0.94461,0.69867,0.67863,0.15563,9077.25,0.5926,0.00763637,0.00763637,0.00763637
54,1912.96,0.52977,3.12335,1.24316,0.54745,0.94432,0.68886,0.67107,0.1471,9122.25,0.59132,0.007553,0.007553,0.007553
55,1948.35,0.52679,3.12059,1.23868,0.55167,0.93752,0.72552,0.70489,0.15572,9108.32,0.59203,0.00746868,0.00746868,0.00746868
56,1983.82,0.5242,3.09786,1.23878,0.55029,0.93763,0.71942,0.69287,0.1674,9170.41,0.59546,0.00738341,0.00738341,0.00738341
57,2019.26,0.52284,3.08852,1.24092,0.54645,0.94691,0.69753,0.67984,0.1471,9179.38,0.59149,0.00729725,0.00729725,0.00729725
58,2054.4,0.52788,3.11805,1.24298,0.54305,0.94989,0.67889,0.66063,0.14881,9272.82,0.59227,0.00721023,0.00721023,0.00721023
59,2089.81,0.52556,3.10491,1.24097,0.55529,0.94114,0.71291,0.69326,0.15187,9147.4,0.59296,0.00712237,0.00712237,0.00712237
60,2125.02,0.52594,3.09204,1.24109,0.54303,0.94417,0.6839,0.66796,0.14154,9272.17,0.5903,0.00703371,0.00703371,0.00703371
61,2160.3,0.52417,3.07178,1.23896,0.5423,0.94765,0.69847,0.68024,0.15244,9397.57,0.59072,0.00694428,0.00694428,0.00694428
62,2195.5,0.52029,3.05596,1.23738,0.55169,0.93947,0.72887,0.71093,0.14695,9425.48,0.58958,0.00685413,0.00685413,0.00685413
63,2230.87,0.519,3.04686,1.23529,0.54637,0.94291,0.72667,0.70957,0.14248,9269.97,0.58935,0.00676328,0.00676328,0.00676328
64,2266.18,0.52019,3.05232,1.23361,0.55372,0.9407,0.74733,0.7302,0.14413,9226.52,0.58978,0.00667177,0.00667177,0.00667177
65,2301.61,0.52201,3.05673,1.23628,0.54511,0.94452,0.71134,0.6952,0.14341,9256.95,0.5904,0.00657963,0.00657963,0.00657963
66,2336.97,0.51632,3.0349,1.23844,0.54581,0.94253,0.72718,0.70909,0.14922,9275.27,0.59169,0.00648691,0.00648691,0.00648691
67,2372.59,0.51736,3.03298,1.23784,0.54662,0.94374,0.72031,0.70324,0.14504,9275.88,0.59028,0.00639363,0.00639363,0.00639363
68,2408.23,0.51806,3.04049,1.23286,0.5432,0.94378,0.70872,0.69308,0.14413,9401.88,0.58946,0.00629983,0.00629983,0.00629983
69,2443.5,0.51579,3.02791,1.22812,0.5492,0.94503,0.71879,0.70205,0.14359,9336.06,0.58754,0.00620555,0.00620555,0.00620555
70,2478.88,0.51543,3.01122,1.22921,0.5517,0.94619,0.73348,0.71747,0.14375,9357.79,0.58749,0.00611083,0.00611083,0.00611083
71,2514.37,0.51819,3.02325,1.23322,0.54546,0.948,0.73349,0.71794,0.13975,9359.66,0.58645,0.0060157,0.0060157,0.0060157
72,2549.91,0.51092,2.9758,1.22799,0.54374,0.94649,0.73007,0.71539,0.13886,9346.62,0.58602,0.00592019,0.00592019,0.00592019
73,2585.23,0.51241,2.97992,1.22889,0.54626,0.9477,0.73234,0.71745,0.13934,9388.82,0.58682,0.00582435,0.00582435,0.00582435
74,2620.7,0.51198,3.00658,1.23195,0.54583,0.94871,0.71843,0.703,0.13923,9463.94,0.58703,0.00572821,0.00572821,0.00572821
75,2656.13,0.51389,3.02171,1.23071,0.54705,0.94907,0.71193,0.69578,0.14038,9442.84,0.58675,0.00563181,0.00563181,0.00563181
76,2691.5,0.51413,3.00745,1.23176,0.54517,0.9513,0.71307,0.69738,0.14267,9476.99,0.58723,0.00553518,0.00553518,0.00553518
77,2727.25,0.51368,2.98919,1.23006,0.54564,0.95114,0.71671,0.70118,0.14203,9447.19,0.58663,0.00543837,0.00543837,0.00543837
78,2762.53,0.50817,2.95009,1.23073,0.54349,0.95212,0.71029,0.69477,0.14138,9539.06,0.58688,0.00534141,0.00534141,0.00534141
79,2797.92,0.51021,2.94704,1.23118,0.5422,0.9541,0.70173,0.68757,0.13742,9576.29,0.58563,0.00524434,0.00524434,0.00524434
80,2833.27,0.50712,2.91523,1.22818,0.5444,0.95338,0.70841,0.69347,0.13682,9561.4,0.5855,0.00514719,0.00514719,0.00514719
81,2868.76,0.50636,2.93906,1.22838,0.5435,0.9505,0.71574,0.70109,0.13698,9578.15,0.58556,0.00505,0.00505,0.00505
82,2904.13,0.50867,2.94864,1.23139,0.54303,0.95197,0.71429,0.69961,0.13691,9599.24,0.58542,0.00495281,0.00495281,0.00495281
83,2939.51,0.50749,2.93248,1.22831,0.54203,0.95279,0.7116,0.69706,0.13674,9654.49,0.5854,0.00485566,0.00485566,0.00485566
84,2974.96,0.50478,2.90793,1.22804,0.54255,0.9526,0.70757,0.69294,0.13641,9685.55,0.58556,0.00475859,0.00475859,0.00475859
85,3010.36,0.50337,2.89471,1.22594,0.54117,0.95513,0.70175,0.68727,0.13596,9744.51,0.58507,0.00466163,0.00466163,0.00466163
86,3045.38,0.50027,2.87876,1.22223,0.54115,0.95503,0.69719,0.68286,0.13637,9796.03,0.58505,0.00456482,0.00456482,0.00456482
87,3080.85,0.50035,2.87369,1.22251,0.54105,0.95501,0.70189,0.68771,0.13565,9766.84,0.58469,0.00446819,0.00446819,0.00446819
88,3116.26,0.5008,2.88353,1.2215,0.54103,0.95359,0.70039,0.68609,0.13595,9788.56,0.58451,0.00437179,0.00437179,0.00437179
89,3151.8,0.50104,2.87075,1.22387,0.53983,0.95401,0.69498,0.68111,0.13611,9807.81,0.58456,0.00427565,0.00427565,0.00427565
90,3187.07,0.49974,2.85941,1.22105,0.5406,0.9523,0.69537,0.68112,0.13561,9841.95,0.58432,0.00417981,0.00417981,0.00417981
