epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5199,0.9153,3.60019,1.78223,0.99044,0.97232,0.98814,0.87179,0.71507,1.99352,1.51394,0.00332151,0.00332151,0.00332151
2,66.3552,0.71008,3.01313,1.63525,0.98836,0.97697,0.98894,0.87125,0.72545,2.0431,1.51609,0.00665421,0.00665421,0.00665421
3,99.4553,0.71889,3.1087,1.63747,0.9817,0.9736,0.98762,0.87417,0.68319,2.09695,1.50094,0.00998437,0.00998437,0.00998437
4,132.658,0.73794,3.29696,1.65261,0.99248,0.97338,0.98807,0.8511,0.80862,2.36957,1.57439,0.00999141,0.00999141,0.00999141
5,166.402,0.74055,3.34574,1.65386,0.99107,0.96351,0.98423,0.84017,0.83119,2.56742,1.59986,0.00998474,0.00998474,0.00998474
6,200.298,0.74179,3.32915,1.6497,0.99233,0.97289,0.98711,0.8472,0.78335,2.3138,1.54942,0.00997616,0.00997616,0.00997616
7,233.408,0.73767,3.30708,1.65003,0.99167,0.97123,0.98822,0.85486,0.78801,2.30392,1.55721,0.00996569,0.00996569,0.00996569
8,266.75,0.74271,3.3307,1.65702,0.98965,0.97344,0.98821,0.85568,0.76798,2.25909,1.53324,0.00995332,0.00995332,0.00995332
9,299.51,0.73917,3.31846,1.65003,0.99667,0.96951,0.98856,0.84739,0.83072,2.33849,1.5678,0.00993906,0.00993906,0.00993906
10,332.551,0.73444,3.28071,1.64409,0.98914,0.97538,0.98861,0.85206,0.78065,2.24909,1.53936,0.00992291,0.00992291,0.00992291
11,365.562,0.72327,3.24443,1.64006,0.99709,0.97454,0.98902,0.89928,0.56015,1.98114,1.44711,0.00990489,0.00990489,0.00990489
12,398.443,0.7239,3.26375,1.63894,0.98949,0.97289,0.98863,0.89999,0.54714,1.94996,1.45089,0.00988499,0.00988499,0.00988499
13,431.42,0.71796,3.24848,1.63966,0.98936,0.97529,0.98911,0.90427,0.52081,1.90456,1.44159,0.00986323,0.00986323,0.00986323
14,464.78,0.71423,3.21652,1.63419,0.99184,0.97255,0.98818,0.88686,0.61555,2.01991,1.46132,0.00983962,0.00983962,0.00983962
15,497.671,0.71522,3.2473,1.64262,0.98848,0.9783,0.98857,0.87162,0.67715,2.10011,1.49289,0.00981415,0.00981415,0.00981415
16,530.899,0.70602,3.18163,1.63211,0.992,0.9719,0.98665,0.9268,0.452,1.78361,1.41905,0.00978685,0.00978685,0.00978685
17,564.028,0.70036,3.16824,1.6331,0.99207,0.97152,0.9879,0.94574,0.39241,1.68302,1.39779,0.00975773,0.00975773,0.00975773
18,596.964,0.69591,3.15304,1.62471,0.988,0.97414,0.98855,0.9295,0.45685,1.76995,1.4164,0.00972679,0.00972679,0.00972679
19,629.825,0.6938,3.14599,1.62708,0.99276,0.97949,0.98912,0.94886,0.38021,1.64928,1.39468,0.00969405,0.00969405,0.00969405
20,662.574,0.69458,3.14322,1.62772,0.98832,0.97297,0.98881,0.89321,0.5916,1.99358,1.46237,0.00965951,0.00965951,0.00965951
21,695.495,0.69317,3.12004,1.62701,0.99439,0.97657,0.98852,0.88303,0.64275,2.01314,1.48865,0.0096232,0.0096232,0.0096232
22,728.474,0.69383,3.12757,1.62478,0.99473,0.97508,0.98896,0.94354,0.40051,1.69056,1.39099,0.00958513,0.00958513,0.00958513
23,761.449,0.69923,3.17013,1.63225,0.98741,0.98076,0.98872,0.90976,0.51838,1.86933,1.43381,0.00954531,0.00954531,0.00954531
24,794.611,0.69118,3.08664,1.62123,0.99211,0.97768,0.9889,0.9429,0.41187,1.67522,1.39809,0.00950375,0.00950375,0.00950375
25,827.439,0.69164,3.13467,1.62817,0.99228,0.97221,0.98802,0.93891,0.41181,1.69772,1.40443,0.00946048,0.00946048,0.00946048
