epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0642,0.72952,4.08516,1.43805,0.98751,0.9743,0.98853,0.87388,0.54281,2.22629,1.20302,0.00332151,0.00332151,0.00332151
2,70.8604,0.55477,3.39442,1.31143,0.99292,0.97348,0.98827,0.87416,0.54861,2.25299,1.20615,0.00665421,0.00665421,0.00665421
3,104.817,0.561,3.49487,1.31106,0.98883,0.95676,0.98257,0.87213,0.49559,2.4033,1.18947,0.00998437,0.00998437,0.00998437
4,138.51,0.57751,3.73442,1.32364,0.98893,0.97173,0.9866,0.84621,0.63426,2.62032,1.256,0.00999141,0.00999141,0.00999141
5,171.981,0.57859,3.7542,1.32408,0.98948,0.96784,0.98626,0.84882,0.61139,3.03181,1.24556,0.00998474,0.00998474,0.00998474
6,205.152,0.58316,3.75815,1.32538,0.99154,0.97517,0.9884,0.86264,0.575,2.49787,1.21474,0.00997616,0.00997616,0.00997616
7,238.864,0.57689,3.73815,1.32411,0.98737,0.97077,0.98813,0.85655,0.59863,2.5983,1.24018,0.00996569,0.00996569,0.00996569
8,272.487,0.58252,3.78949,1.33025,0.98892,0.97063,0.9879,0.85642,0.59167,2.56325,1.23523,0.00995332,0.00995332,0.00995332
9,306.036,0.58064,3.77626,1.32453,0.98499,0.97409,0.98848,0.87263,0.52954,2.44595,1.20249,0.00993906,0.00993906,0.00993906
10,339.232,0.5819,3.73955,1.31966,0.99359,0.97239,0.9879,0.83272,0.68413,2.75153,1.26806,0.00992291,0.00992291,0.00992291
11,372.481,0.57773,3.70349,1.31871,0.98844,0.97307,0.98589,0.86844,0.54919,2.48553,1.19617,0.00990489,0.00990489,0.00990489
12,406.156,0.57925,3.72088,1.32034,0.99177,0.96917,0.9872,0.82693,0.69886,2.73598,1.28201,0.00988499,0.00988499,0.00988499
13,439.995,0.57879,3.71424,1.32394,0.99044,0.9764,0.98866,0.86644,0.54824,2.48374,1.21276,0.00986323,0.00986323,0.00986323
14,473.688,0.57445,3.68499,1.31811,0.98993,0.97361,0.98822,0.84594,0.63622,2.65893,1.25919,0.00983962,0.00983962,0.00983962
15,507.391,0.57609,3.70881,1.3274,0.99378,0.97433,0.98728,0.85008,0.62419,2.545,1.23438,0.00981415,0.00981415,0.00981415
16,541.214,0.57368,3.68152,1.32185,0.99051,0.97512,0.98581,0.88335,0.47168,2.40436,1.17339,0.00978685,0.00978685,0.00978685
17,574.836,0.56892,3.66419,1.31773,0.99261,0.97277,0.98835,0.87509,0.51153,2.3966,1.19258,0.00975773,0.00975773,0.00975773
18,608.823,0.56444,3.62389,1.31033,0.98969,0.9757,0.98775,0.88512,0.46774,2.26244,1.17283,0.00972679,0.00972679,0.00972679
19,642.793,0.56221,3.61201,1.31324,0.99341,0.97599,0.98866,0.87743,0.50965,2.33964,1.18954,0.00969405,0.00969405,0.00969405
20,675.952,0.55863,3.62314,1.31341,0.99178,0.97002,0.98923,0.86251,0.56654,2.45928,1.21551,0.00965951,0.00965951,0.00965951
21,709.991,0.5572,3.60095,1.31135,0.99313,0.97151,0.98832,0.88982,0.46052,2.24197,1.1728,0.0096232,0.0096232,0.0096232
22,743.695,0.55582,3.5724,1.31321,0.99505,0.97392,0.98844,0.90247,0.41314,2.18237,1.15372,0.00958513,0.00958513,0.00958513
23,777.286,0.5607,3.62988,1.31561,0.99306,0.9752,0.98736,0.88955,0.46356,2.22732,1.17215,0.00954531,0.00954531,0.00954531
24,810.952,0.55374,3.5478,1.3057,0.99343,0.97729,0.98867,0.9152,0.39441,2.07503,1.13844,0.00950375,0.00950375,0.00950375
25,844.658,0.55371,3.58962,1.31535,0.99112,0.97644,0.98807,0.93877,0.33354,1.95211,1.12887,0.00946048,0.00946048,0.00946048
26,877.66,0.55284,3.57339,1.3052,0.99202,0.97601,0.98806,0.94011,0.32495,1.94887,1.1228,0.00941551,0.00941551,0.00941551
27,910.714,0.54769,3.54245,1.30302,0.99371,0.97273,0.98722,0.94248,0.30023,1.88064,1.11272,0.00936886,0.00936886,0.00936886
28,943.649,0.55043,3.54244,1.30513,0.9919,0.9773,0.98823,0.94306,0.32012,1.88532,1.11729,0.00932054,0.00932054,0.00932054
29,977.043,0.54947,3.56037,1.312,0.99012,0.97823,0.9884,0.9388,0.32358,1.96118,1.12522,0.00927057,0.00927057,0.00927057
30,1010.24,0.55139,3.60636,1.31536,0.99232,0.97612,0.98839,0.94648,0.29809,1.88206,1.11804,0.00921898,0.00921898,0.00921898
31,1043.33,0.54382,3.53219,1.30655,0.99087,0.97646,0.98915,0.93157,0.35707,1.93522,1.13202,0.00916577,0.00916577,0.00916577
32,1076.28,0.54716,3.52572,1.30711,0.99251,0.9783,0.98794,0.93918,0.33541,1.94665,1.12334,0.00911099,0.00911099,0.00911099
33,1109.53,0.54518,3.49007,1.30374,0.99102,0.97938,0.98862,0.9295,0.35234,1.92913,1.12789,0.00905463,0.00905463,0.00905463
34,1142.59,0.54468,3.49362,1.30447,0.98994,0.97916,0.98884,0.94749,0.29663,1.81206,1.11712,0.00899674,0.00899674,0.00899674
35,1176.11,0.5428,3.49803,1.3033,0.99245,0.98062,0.98918,0.94682,0.30706,1.84084,1.1176,0.00893732,0.00893732,0.00893732
36,1209.69,0.53803,3.46535,1.30069,0.99378,0.9763,0.98939,0.94837,0.29945,1.81985,1.11219,0.0088764,0.0088764,0.0088764
37,1242.57,0.54107,3.48477,1.30328,0.99386,0.97609,0.98847,0.94663,0.3011,1.8321,1.11805,0.00881401,0.00881401,0.00881401
38,1275.85,0.54317,3.48912,1.29994,0.992,0.97788,0.98871,0.94725,0.29881,1.8177,1.11162,0.00875017,0.00875017,0.00875017
