epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5065,0.69217,3.30205,1.29874,0.99521,0.98368,0.99386,0.86811,0.3453,1.27967,0.65623,0.0033156,0.0033156,0.0033156
2,43.0426,0.53618,2.88057,1.20304,0.98286,0.98433,0.99389,0.87177,0.32216,73.242,0.64748,0.00664853,0.00664853,0.00664853
3,75.0225,0.54336,3.01634,1.20992,0.9753,0.98199,0.99152,0.85929,0.33536,167.222,0.65469,0.00997983,0.00997983,0.00997983
4,107.3,0.5612,3.27989,1.22342,0.84979,0.91471,0.95204,0.80968,0.36374,2719.19,0.66229,0.0099945,0.0099945,0.0099945
5,140.195,0.56958,3.29472,1.22383,0.60402,0.91926,0.75083,0.62736,0.3882,6930.42,0.67471,0.00999023,0.00999023,0.00999023
6,172.682,0.56521,3.29456,1.22007,0.63905,0.93194,0.82643,0.7227,0.33437,6701.3,0.65536,0.00998474,0.00998474,0.00998474
7,205.007,0.56353,3.26247,1.22165,0.59888,0.93192,0.78462,0.67602,0.35074,7462.75,0.65794,0.00997803,0.00997803,0.00997803
8,237.506,0.56793,3.30671,1.22116,0.60507,0.92949,0.75795,0.6731,0.29593,8131.67,0.64486,0.00997011,0.00997011,0.00997011
9,269.878,0.56951,3.30871,1.22645,0.58208,0.92684,0.75449,0.63106,0.3964,7740.56,0.67945,0.00996097,0.00996097,0.00996097
10,301.659,0.56808,3.31098,1.22473,0.56571,0.94438,0.74784,0.65674,0.31413,8312.21,0.6444,0.00995062,0.00995062,0.00995062
11,333.762,0.56693,3.31073,1.22162,0.56925,0.94399,0.77514,0.65434,0.37613,7734.35,0.67126,0.00993906,0.00993906,0.00993906
12,366.079,0.56635,3.29008,1.22293,0.6134,0.92515,0.818,0.7174,0.32359,7806.68,0.64849,0.00992629,0.00992629,0.00992629
13,398.198,0.56918,3.32375,1.22924,0.58326,0.93667,0.70553,0.61546,0.32814,7343.82,0.66417,0.00991232,0.00991232,0.00991232
14,430.683,0.57066,3.31025,1.22552,0.56975,0.93734,0.71672,0.59229,0.41429,8097.43,0.69531,0.00989715,0.00989715,0.00989715
15,463.068,0.56845,3.3135,1.22443,0.57036,0.94717,0.72901,0.61861,0.37294,8486.26,0.67129,0.00988079,0.00988079,0.00988079
16,494.986,0.56942,3.28018,1.2203,0.5779,0.94737,0.7189,0.61401,0.36623,8440.75,0.66626,0.00986323,0.00986323,0.00986323
17,527.41,0.56939,3.29566,1.22371,0.5634,0.94889,0.73546,0.62791,0.36788,8213.34,0.66927,0.00984449,0.00984449,0.00984449
18,559.588,0.56557,3.29258,1.22675,0.56559,0.92792,0.74886,0.65138,0.32665,8125.11,0.65878,0.00982456,0.00982456,0.00982456
