epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4628,0.73954,3.29954,1.29748,0.9949,0.98951,0.99433,0.8599,0.38101,1.27943,0.66313,0.0033156,0.0033156,0.0033156
2,33.3264,0.57334,2.87963,1.20186,0.98871,0.98015,0.99348,0.85792,0.3709,45.4743,0.65717,0.00661602,0.00661602,0.00661602
3,49.6455,0.58394,3.03602,1.20769,0.96947,0.97475,0.98924,0.8685,0.33739,384.828,0.64719,0.00988345,0.00988345,0.00988345
4,66.0779,0.60354,3.29949,1.22016,0.81438,0.93467,0.94331,0.81041,0.38314,3230.82,0.66764,0.0098515,0.0098515,0.0098515
5,82.3698,0.60823,3.29328,1.22768,0.64205,0.93359,0.77398,0.64894,0.41264,6139.67,0.67427,0.009802,0.009802,0.009802
6,98.9126,0.60298,3.26612,1.21714,0.60396,0.94224,0.79452,0.67209,0.4086,7632.99,0.67213,0.0097525,0.0097525,0.0097525
7,115.346,0.60575,3.28729,1.22595,0.57934,0.93451,0.75248,0.62032,0.42914,7896.47,0.68193,0.009703,0.009703,0.009703
8,131.888,0.60657,3.27586,1.22075,0.60547,0.93567,0.73286,0.64924,0.31865,7990.46,0.65142,0.0096535,0.0096535,0.0096535
9,156.324,0.60564,3.27974,1.22233,0.59162,0.92421,0.76242,0.64756,0.40871,7490.85,0.67027,0.009604,0.009604,0.009604
10,180.595,0.6059,3.28069,1.22345,0.56677,0.94203,0.76763,0.67199,0.36016,8331.22,0.65394,0.0095545,0.0095545,0.0095545
11,204.753,0.60891,3.29481,1.22244,0.56071,0.94635,0.74403,0.63497,0.38027,8073.49,0.66187,0.009505,0.009505,0.009505
12,228.997,0.60466,3.25196,1.22081,0.57284,0.93857,0.72362,0.61885,0.38419,8345.47,0.66297,0.0094555,0.0094555,0.0094555
13,253.294,0.60667,3.26726,1.22516,0.59356,0.93955,0.74599,0.63576,0.38804,7829.96,0.6726,0.009406,0.009406,0.009406
14,277.521,0.60742,3.28561,1.22477,0.58792,0.92071,0.73442,0.60969,0.42213,8084.58,0.68502,0.0093565,0.0093565,0.0093565
15,302.032,0.60802,3.29592,1.22314,0.60281,0.93469,0.79961,0.68705,0.37719,7606.45,0.66444,0.009307,0.009307,0.009307
16,326.493,0.60715,3.25444,1.21732,0.65396,0.9272,0.82597,0.7077,0.37767,7282.78,0.66475,0.0092575,0.0092575,0.0092575
17,350.91,0.60598,3.25792,1.22155,0.57317,0.93951,0.708,0.61603,0.35957,8193.83,0.65577,0.009208,0.009208,0.009208
18,374.971,0.60474,3.2545,1.22183,0.61168,0.93149,0.81237,0.67935,0.42393,8051.38,0.67496,0.0091585,0.0091585,0.0091585
19,399.549,0.59581,3.20899,1.2193,0.59666,0.93179,0.76298,0.64688,0.40919,7953.04,0.67067,0.009109,0.009109,0.009109
20,423.756,0.60273,3.23422,1.21921,0.59173,0.93212,0.79482,0.66969,0.41576,8212.88,0.66982,0.0090595,0.0090595,0.0090595
21,447.962,0.59634,3.20583,1.21866,0.60692,0.9368,0.80709,0.7024,0.35004,7693.46,0.65238,0.00901,0.00901,0.00901
22,472.22,0.59036,3.19801,1.2193,0.5921,0.9267,0.76954,0.63342,0.44032,7874.66,0.69409,0.0089605,0.0089605,0.0089605
23,496.732,0.59277,3.19176,1.21688,0.579,0.9397,0.74162,0.62258,0.40918,8242.7,0.66636,0.008911,0.008911,0.008911
24,520.783,0.58748,3.169,1.21312,0.586,0.94805,0.7197,0.64385,0.29726,8852.23,0.63224,0.0088615,0.0088615,0.0088615
25,544.638,0.5822,3.15532,1.2135,0.5782,0.93417,0.77724,0.69769,0.28928,8727.63,0.63556,0.008812,0.008812,0.008812
26,568.416,0.58161,3.15683,1.21172,0.57733,0.93727,0.74379,0.61549,0.43549,8286.35,0.68423,0.0087625,0.0087625,0.0087625
27,592.475,0.58343,3.1567,1.21574,0.5808,0.93005,0.74275,0.65415,0.3198,8471.82,0.64596,0.008713,0.008713,0.008713
28,616.535,0.57669,3.14838,1.21348,0.57697,0.9425,0.74986,0.64782,0.35174,9202.5,0.65458,0.0086635,0.0086635,0.0086635
29,640.239,0.57859,3.15562,1.21238,0.58933,0.94678,0.77923,0.7184,0.24013,8300.58,0.62309,0.008614,0.008614,0.008614
30,664.366,0.58056,3.15344,1.21336,0.60666,0.92726,0.80445,0.71619,0.30649,7937.83,0.63727,0.0085645,0.0085645,0.0085645
31,688.173,0.58022,3.14525,1.2148,0.57282,0.94454,0.74867,0.68046,0.267,8475.95,0.63137,0.008515,0.008515,0.008515
32,711.831,0.57574,3.12123,1.21529,0.57573,0.94444,0.75447,0.69882,0.24081,8358.38,0.62719,0.0084655,0.0084655,0.0084655
33,735.78,0.57039,3.09363,1.20894,0.67037,0.92229,0.87124,0.73994,0.3972,7907.74,0.66889,0.008416,0.008416,0.008416
